cod_barras,descricao,codigo,Novo_codigo
7898024050469,ADITIVO FUEL INJECTOR STP,0000000169    ,undefined
6012583241408,DESFIADOR DE FUMO C/ TRAVA PLASTICO,0000000170    ,undefined
7891150026773 ,SORV KIBON 1,5L CHICABON ,0000000171    ,undefined
5000267014005,WHISKY JOHNNIE WALKER 750ML,0000000172    ,undefined
7622210528186,CHOC LACTA SONHO DE VALSA 98G,0000000173    ,undefined
7896005809518,BEBIDA PRONTO CAPPUCCINO CLASSIC 260ML,0000000174    ,undefined
7622210674319,CHOC LACTA LAKA 80G,0000000175    ,undefined
78924031,CIG LUCKY STRIKE ICE CUBE,0000000176    ,undefined
7893249272429,HAVAIANAS UP VERDE HYDRO 35/36,0000000177    ,undefined
7899465200994,ENERG VULCANO FRUTAS TROPICAIS 473ML,0000000178    ,undefined
7891342012911,FILTRO DE AR ARL2336,0000000179    ,undefined
7891098040732,LEAO MATTE LIMAO 300ML,0000000180    ,undefined
7622210674357,CHOC LACTA LAKA OREO 80G,0000000181    ,undefined
7892840814748,AMENDOIN ELMA CHIPS SEM PELE 100G,0000000182    ,undefined
7622300847753,TRIDENT MELANCIA 25,2G,0000000183    ,undefined
7899766889348,AMENDOIM VIDA VERDE SABOR SALSA E CEBOLA 70G,0000000184    ,undefined
0902023,CARAMELO MEIO/MEIO,0000000185    ,undefined
7896423470994,CHOC TWIX ORIGINAL 40G,0000000186    ,undefined
7897395031602,ENERGETICO TNT 269ML,0000000187    ,undefined
9002490209346,ENERGETICO RED BULL 355ML,0000000188    ,undefined
7622210673831,CHOC LACTA AO LEITE 80G,0000000189    ,undefined
78939752,CIG KLINT PRATA BOX,0000000190    ,undefined
7898542858660,DESFIADOR DE FUMO TAMPINHA UND,0000000191    ,undefined
7896619000042,SAPUPARA PRATA 480ML,0000000192    ,undefined
7622210573384,CHOC LACTA AO LEITE 34G,0000000193    ,undefined
7898542858493,DESFIADOR DE FUMO AMSTERDAM UND,0000000194    ,undefined
7898142865044,TORTUGUITA BAUNILHA 15,5G,0000000195    ,undefined
7896024726667,WAFER PIRAQUE MORANGO 100G,0000000196    ,undefined
7891152801903,BISC RICHESTER MORANGO 40G.,0000000197    ,undefined
7891152801873,BISC RICHESTER MORANGO 71,2G.,0000000198    ,undefined
742832800082,DESF PLASTICO BEM BOLADO,0000000199    ,undefined
7622300830151,BISC OREO 90G,0000000200    ,undefined
7891149441204,REF SUKITA 1L,0000000201    ,undefined
7891152802191,BISC MAIZENA SUPERIORE 170G,0000000202    ,undefined
070330129627,CANETA BIC CRISTAL AZUL,0000000203    ,undefined
7896024761347,BISC RECHEADO CHOCOLATE CO AVELA 85G,0000000204    ,undefined
5000291020706,GIN TANQUERAY 750ML,0000000205    ,undefined
7898012860421,COQUETEL SLOVA FRUTAS VERMELHAS 965ML ,0000000206    ,undefined
7898012860414,COQUETEL SLOVA KIWI 965 ML,0000000207    ,undefined
7894900681178,REF SPRITE SLEEK 220ML,0000000208    ,undefined
78942028,CIG ROTHMANS CLASSIC BLUE,0000000209    ,undefined
095188798573,SUCO TAMPICO 2L,0000000210    ,undefined
